word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
consideration,careful thought or kindness to others,thought,reflection,disregard,neglect,After much consideration she decided to accept the offer.
consist,to be made up of,comprise,contain,lack,exclude,The team consists of ten players and a coach.
consistency,staying the same over time,uniformity,steadiness,inconsistency,variation,Consistency in practice leads to improvement.
conspicuous,easily seen or noticed,obvious,noticeable,inconspicuous,hidden,Her bright red hat made her conspicuous in the crowd.
conspire,to secretly plan to do something harmful or illegal,plot,scheme,support,help,The villains conspired to steal the treasure.
constant,continuous and unchanging,continuous,steady,changing,variable,The constant noise from the traffic was annoying.
constraint,a limit or restriction,restriction,limitation,freedom,liberty,Time constraints meant we could not finish the project.
construe,to interpret or understand meaning,interpret,understand,misinterpret,confuse,Her silence could be construed as agreement.
consume,to eat drink or use up,eat,use,save,preserve,The fire consumed the entire building in hours.
contagious,spreading easily from person to person,infectious,catching,non-infectious,safe,Laughter can be contagious in a group of friends.
contemplate,to think deeply about something,consider,ponder,ignore,dismiss,She sat by the window to contemplate her future.
contemporary,belonging to the present time,modern,current,ancient,old-fashioned,The gallery displayed contemporary art from living artists.
contempt,a feeling of disgust or disrespect,scorn,disdain,respect,admiration,He showed contempt for the rules by breaking them.
contemptible,deserving hatred or disrespect,despicable,shameful,admirable,praiseworthy,His contemptible behaviour upset everyone.
contemptuous,showing contempt or disrespect,scornful,disdainful,respectful,admiring,She gave a contemptuous look at the poor quality work.
contend,to compete or argue,compete,struggle,surrender,agree,Three runners will contend for the gold medal.
content,satisfied and happy,satisfied,pleased,discontent,unhappy,She felt content with her exam results.
contented,happy and satisfied,satisfied,pleased,discontented,dissatisfied,The contented cat purred on the warm windowsill.
contentious,causing disagreement or argument,controversial,disputed,agreeable,uncontested,The contentious issue divided the community.
contest,a competition or to challenge,competition,challenge,agreement,acceptance,The spelling contest was won by a year five pupil.
continuous,going on without stopping,constant,unbroken,intermittent,broken,The continuous rain lasted for several days.
contract,an agreement or to become smaller,agreement,deal,expansion,enlargement,They signed a contract to complete the work by Friday.
contrast,a clear difference between things,difference,distinction,similarity,likeness,The contrast between the two paintings was striking.
contribute,to give or add to something,give,add,take,withhold,Everyone was asked to contribute ideas for the project.
contrite,feeling sorry for wrongdoing,sorry,remorseful,unrepentant,defiant,He looked contrite after breaking his sister's toy.
contrition,deep regret for wrongdoing,remorse,regret,pride,defiance,She showed contrition for her unkind words.
contrived,artificial and not genuine,artificial,forced,natural,genuine,The happy ending felt contrived and unbelievable.
conundrum,a difficult problem or puzzle,puzzle,riddle,solution,answer,The missing key was a conundrum nobody could solve.
conventional,following traditional ways,traditional,standard,unconventional,unusual,The conventional approach to the problem did not work.
convert,to change from one thing to another,change,transform,maintain,preserve,The old barn was converted into a beautiful house.
convey,to communicate or transport,communicate,express,conceal,hide,Her smile conveyed her happiness at the news.
convict,a person found guilty of a crime,prisoner,criminal,innocent,free person,The convict was sentenced to five years in prison.
convince,to persuade someone to believe something,persuade,sway,discourage,dissuade,She tried to convince her parents to let her go.
convoluted,extremely complex and confusing,complicated,complex,simple,straightforward,The convoluted plot of the film confused everyone.
cooperative,willing to work together,helpful,collaborative,uncooperative,unhelpful,The cooperative children worked well as a team.
copious,large in quantity,abundant,plentiful,scarce,meagre,She took copious notes during the interesting lecture.
cordial,warm and friendly,friendly,warm,hostile,unfriendly,The cordial welcome made the guests feel at home.
corroborate,to confirm or support with evidence,confirm,support,contradict,deny,Witnesses corroborated her account of the accident.
corrosive,causing damage by chemical action,destructive,caustic,harmless,protective,The corrosive acid damaged the metal surface.
courageous,brave and fearless,brave,fearless,cowardly,timid,The courageous firefighter rescued the family from the flames.
covert,secret and hidden,secret,hidden,open,public,The spies carried out a covert operation at night.
covet,to want something that belongs to someone else,desire,crave,reject,spurn,She would covet her sister's beautiful jewellery.
craving,a strong desire for something,desire,longing,aversion,dislike,She had a craving for chocolate after dinner.
credence,belief or acceptance as true,belief,trust,disbelief,doubt,Nobody gave credence to his unlikely story.
credibility,the quality of being believable,believability,reliability,unreliability,doubt,The witness lost credibility when she changed her story.
credit,praise or money in an account,praise,recognition,blame,debt,She deserves credit for all her hard work.
credulous,too willing to believe things,gullible,naive,sceptical,suspicious,The credulous child believed everything she was told.
crest-fallen,sad and disappointed,dejected,downcast,cheerful,elated,He looked crestfallen when he heard he had not won.
criterion,a standard for judging something,standard,measure,exception,anomaly,The main criterion for selection was experience.
crucial,extremely important,vital,essential,unimportant,trivial,It is crucial to arrive on time for the exam.
cryptic,mysterious and puzzling,mysterious,puzzling,clear,obvious,The cryptic message left everyone confused.
culpable,deserving blame for wrongdoing,guilty,blameworthy,innocent,blameless,He was found culpable for the damage to the car.
cultivate,to grow plants or develop skills,grow,develop,neglect,abandon,She worked hard to cultivate her musical talents.
cunning,clever at getting what you want,crafty,sly,naive,honest,The cunning fox outwitted the farmer once again.
curate,to organise and look after a collection,organise,select,scatter,disorganise,The museum decided to curate a new exhibition.
curious,wanting to know or learn things,inquisitive,interested,uninterested,indifferent,The curious child asked many questions about the world.
cursory,quick and not thorough,brief,superficial,thorough,detailed,A cursory glance at the document revealed nothing.
curtail,to reduce or cut short,reduce,shorten,extend,lengthen,Bad weather forced them to curtail their holiday.
customary,usual or according to custom,usual,traditional,unusual,uncommon,It is customary to bring a gift to a birthday party.
cynic,a person who doubts good intentions,sceptic,doubter,optimist,believer,The cynic questioned the charity's true motives.
cynicism,a distrustful attitude towards motives,scepticism,distrust,trust,optimism,His cynicism made him doubt everyone's kindness.
dawdle,to waste time by being slow,delay,linger,hurry,rush,Stop dawdling or we will miss the bus.
dazzling,extremely bright or impressive,brilliant,stunning,dull,dim,The dazzling fireworks lit up the night sky.
dearth,a lack or scarcity of something,shortage,lack,abundance,plenty,There was a dearth of volunteers for the project.
debilitate,to make someone weak,weaken,exhaust,strengthen,invigorate,The illness began to debilitate her over time.
debonair,confident and stylish,suave,charming,awkward,clumsy,The debonair gentleman impressed everyone at the party.
debrief,to question someone about a completed task,question,interview,brief,inform,The team met to debrief after the successful mission.
debunk,to show something is false,disprove,expose,confirm,prove,The scientist worked to debunk the false theory.
decadent,morally declined or luxurious,indulgent,lavish,austere,moral,The decadent chocolate cake was irresistible.
deceit,dishonesty and trickery,deception,dishonesty,honesty,truth,His deceit was discovered when the truth came out.
deceive,to trick or mislead someone,trick,mislead,inform,enlighten,She would never deceive her best friend.
decisive,able to make decisions quickly,determined,resolute,indecisive,hesitant,The decisive captain led the team to victory.
decline,to become less or refuse politely,decrease,refuse,accept,increase,She had to decline the invitation due to other plans.
decorum,polite and proper behaviour,propriety,etiquette,impropriety,rudeness,The guests maintained perfect decorum at the dinner.
decree,an official order or decision,order,command,request,suggestion,The king issued a decree banning hunting in the forest.
deduction,a conclusion reached by reasoning,conclusion,inference,guess,assumption,Her deduction about the thief was absolutely correct.
defame,to damage someone's reputation,slander,libel,praise,honour,It is wrong to defame someone with false accusations.
deference,respectful behaviour towards someone,respect,regard,disrespect,contempt,The students showed deference to their elderly teacher.
defiance,bold resistance to authority,resistance,rebellion,obedience,compliance,His defiance of the rules resulted in detention.
defy,to resist or challenge authority,resist,challenge,obey,submit,She would defy anyone who tried to stop her dreams.
degenerate,to decline or become worse,deteriorate,decline,improve,flourish,Standards began to degenerate after the change.
degrade,to lower in dignity or quality,demean,humiliate,honour,elevate,Bullying can degrade a person's self-esteem.
deject,to make someone sad,sadden,discourage,cheer,encourage,The bad news dejected everyone in the room.
delectable,delicious or delightful,delicious,tasty,unpleasant,disgusting,The delectable cakes disappeared within minutes.
deliberate,done on purpose or slow and careful,intentional,careful,accidental,hasty,The deliberate mistake was part of his clever plan.
delightful,very pleasant and enjoyable,lovely,charming,unpleasant,horrible,The delightful garden was full of beautiful flowers.
delineate,to describe or outline clearly,outline,describe,obscure,confuse,The map delineated the boundaries of the park.
delirious,wildly excited or confused,ecstatic,frenzied,calm,rational,The fans were delirious with joy after the winning goal.
delude,to deceive or mislead,deceive,mislead,enlighten,inform,Do not delude yourself into thinking it will be easy.
deluded,believing something that is not true,deceived,mistaken,aware,enlightened,He was deluded about his chances of winning.
deluge,a great flood or heavy rainfall,flood,downpour,drought,trickle,The deluge of rain flooded the streets completely.
demeanour,outward behaviour or manner,manner,bearing,essence,nature,Her calm demeanour hid her inner nervousness.
demolished,completely destroyed,destroyed,ruined,built,constructed,The old factory was demolished to make way for houses.
demote,to move someone to a lower position,downgrade,lower,promote,elevate,The captain was demoted after losing several matches.
demotion,being moved to a lower position,downgrade,reduction,promotion,advancement,His demotion came as a shock to the whole team.
demure,modest and reserved in manner,modest,shy,bold,forward,The demure girl blushed when she received the award.
denounce,to publicly criticise or condemn,condemn,criticise,praise,support,The leader denounced the violent actions of the protesters.
depict,to show or describe in art or words,portray,illustrate,conceal,hide,The painting depicts a beautiful sunset over the mountains.
deplore,to strongly disapprove of something,condemn,criticise,approve,praise,We deplore all forms of bullying in our school.
deploy,to put into use or position,use,position,withdraw,recall,The army decided to deploy more troops to the area.
deposit,to put money in a bank or put something down,place,store,withdraw,remove,She went to the bank to deposit her birthday money.
depot,a place where goods or vehicles are stored,warehouse,station,dispersal,scatter,The bus depot was busy with vehicles coming and going.
depraved,morally bad and wicked,corrupt,wicked,virtuous,moral,The villain's depraved actions shocked the entire village.
depravity,moral wickedness,wickedness,corruption,virtue,goodness,The depravity of the crime horrified everyone who heard about it.
deprecate,to express disapproval of something,criticise,condemn,approve,praise,She did not want to deprecate her colleague's hard work.
depressing,making one feel sad,gloomy,disheartening,uplifting,cheerful,The depressing news spread quickly through the town.
derail,to cause a train to leave the tracks or disrupt plans,disrupt,obstruct,facilitate,advance,Bad weather threatened to derail their holiday plans.
deranged,insane or mentally disturbed,insane,mad,sane,rational,The deranged character in the story frightened the readers.
derelict,in poor condition and abandoned,abandoned,neglected,maintained,cared-for,The derelict building was scheduled to be demolished.
deride,to mock or ridicule someone,mock,ridicule,praise,respect,It is unkind to deride someone for making a mistake.
derision,mocking and scornful treatment,mockery,ridicule,respect,admiration,His suggestion was met with derision from the group.
derisive,expressing mockery and scorn,mocking,scornful,respectful,admiring,Her derisive laughter made him feel embarrassed.
derivative,copied from something else not original,unoriginal,imitative,original,innovative,The film was criticised for being derivative of earlier works.
description,a detailed account of something,account,explanation,concealment,silence,She gave a clear description of what happened.
desecration,treating a sacred place with disrespect,violation,profanation,reverence,respect,The desecration of the ancient temple shocked everyone.
desire,a strong wish for something,wish,longing,aversion,dislike,Her greatest desire was to travel around the world.
desist,to stop doing something,stop,cease,continue,persist,The teacher told the noisy students to desist immediately.
desolate,empty bleak and lonely,barren,bleak,populated,vibrant,The desolate landscape stretched for miles without any trees.
despair,complete loss of hope,hopelessness,desperation,hope,optimism,She felt despair when she heard the terrible news.
desperately,in a very urgent or serious way,urgently,frantically,calmly,leisurely,He desperately searched for his lost puppy in the park.
despicable,deserving hatred and contempt,contemptible,vile,admirable,praiseworthy,His despicable behaviour towards the younger children was reported.
despise,to feel strong hatred for someone,hate,loathe,love,admire,She despised cruelty of any kind.
despised,strongly disliked or hated,hated,loathed,loved,admired,The despised villain finally got what he deserved.
despondent,very unhappy and without hope,dejected,disheartened,cheerful,hopeful,He became despondent after failing the important exam.
despot,a cruel ruler with absolute power,tyrant,dictator,democrat,liberator,The despot ruled the kingdom with an iron fist.
destination,the place someone is travelling to,goal,endpoint,origin,starting point,London was their final destination on the school trip.
destitute,extremely poor and lacking basic needs,impoverished,penniless,wealthy,affluent,The destitute family had no food to eat that night.
detached,not connected or emotionally uninvolved,separate,disconnected,attached,connected,She remained emotionally detached during the sad film.
detain,to hold someone back or keep in custody,hold,delay,release,free,The police had to detain the suspect for questioning.
deteriorate,to become progressively worse,worsen,decline,improve,flourish,The weather began to deteriorate as evening approached.
determine,to find out or decide firmly,decide,establish,doubt,question,Scientists worked to determine the cause of the problem.
deterrent,something that discourages an action,discouragement,obstacle,encouragement,incentive,The high fence acted as a deterrent to intruders.
detractors,people who criticise or disparage,critics,opponents,supporters,admirers,Despite his detractors the singer remained popular.
detrimental,causing harm or damage,harmful,damaging,beneficial,helpful,Too much screen time can be detrimental to your eyes.
devious,using clever but dishonest methods,cunning,sly,honest,straightforward,His devious plan was discovered by the teacher.
devise,to plan or invent something,invent,create,copy,imitate,She had to devise a way to solve the puzzle.
devote,to give time or effort to something,dedicate,commit,neglect,ignore,He decided to devote his weekends to helping others.
devoted,very loving and loyal,dedicated,loyal,disloyal,unfaithful,The devoted dog followed his owner everywhere.
devour,to eat quickly and greedily,gobble,consume,nibble,reject,The hungry children devoured their dinner in minutes.
diabolical,extremely wicked or cruel,evil,fiendish,angelic,good,The villain had a diabolical plan to take over the world.
diametrically,completely and directly opposite,completely,totally,partially,similarly,Their views on the topic were diametrically opposed.
diatribe,a bitter verbal attack,tirade,rant,praise,compliment,His diatribe against the decision upset many people.
diction,the choice and use of words,speech,vocabulary,silence,muteness,The actor's clear diction made every word easy to understand.
diffident,lacking confidence and shy,shy,timid,confident,bold,The diffident student rarely spoke up in class.
diffuse,to spread over a wide area,spread,scatter,concentrate,focus,The smell of baking began to diffuse through the house.
digest,to break down food or understand information,absorb,process,reject,ignore,It took time to digest all the new information.
digression,a temporary departure from the main subject,deviation,departure,focus,continuation,After a brief digression the speaker returned to the topic.
dilapidated,in a state of disrepair,rundown,decrepit,pristine,well-maintained,The dilapidated cottage needed a lot of repair work.
diligence,careful and persistent effort,perseverance,dedication,laziness,carelessness,Her diligence in studying led to excellent results.
diligent,showing careful and persistent effort,hardworking,industrious,lazy,idle,The diligent student always completed her homework on time.
diluted,made weaker by adding water,weakened,watered-down,concentrated,strong,The diluted juice tasted less sweet than the original.
diminish,to make or become smaller or less,reduce,lessen,increase,grow,Her fear began to diminish as she got used to the dark.
diminution,a reduction in size or importance,decrease,reduction,increase,growth,There was a diminution in the number of visitors this year.
disarray,a state of disorder and confusion,disorder,mess,order,tidiness,The classroom was in complete disarray after the party.
disastrous,causing great damage or harm,catastrophic,devastating,successful,fortunate,The disastrous flood destroyed many homes in the village.
disband,to break up as a group,dissolve,disperse,assemble,gather,The committee voted to disband after completing its work.
discerning,showing good judgement,perceptive,discriminating,undiscerning,naive,The discerning reader noticed the hidden clues in the story.
disclose,to make known or reveal,reveal,expose,conceal,hide,She refused to disclose the secret to anyone.
discombobulated,confused and disconcerted,confused,flustered,composed,calm,The sudden noise left everyone feeling discombobulated.
discontent,unhappiness or dissatisfaction,dissatisfaction,displeasure,contentment,satisfaction,There was growing discontent among the workers.
discordant,disagreeing or not harmonious,clashing,conflicting,harmonious,agreeable,The discordant sounds from the band hurt our ears.
discredit,to harm someone's reputation,defame,dishonour,credit,honour,The false story was designed to discredit the honest teacher.
discreet,careful to avoid attention or embarrassment,tactful,prudent,indiscreet,careless,She was discreet about the surprise party plans.
discrepancy,a difference between things that should match,difference,inconsistency,agreement,match,There was a discrepancy between the two reports.
discretionary,left to one's own judgement,optional,voluntary,mandatory,compulsory,Teachers have discretionary powers over small punishments.
discriminating,showing good taste and judgement,selective,particular,undiscriminating,unselective,Her discriminating palate could detect the finest flavours.
discursive,going off the main topic,rambling,digressive,focused,concise,His discursive essay wandered from point to point.
disdain,a feeling of contempt for something,contempt,scorn,respect,admiration,She looked at the messy room with disdain.
disembark,to get off a ship or aircraft,alight,leave,board,embark,Passengers began to disembark from the ferry.
dishevelled,untidy in appearance,messy,unkempt,neat,tidy,He arrived at school looking dishevelled after oversleeping.
disinclination,unwillingness to do something,reluctance,aversion,willingness,eagerness,She felt a disinclination to go out in the rain.
disintegrate,to break into small parts,crumble,fragment,integrate,unite,The ancient paper began to disintegrate when touched.
disinterested,impartial and without bias,impartial,unbiased,biased,partial,The judge must be disinterested to make a fair decision.
dismal,depressing and gloomy,dreary,bleak,cheerful,bright,The dismal weather matched everyone's sad mood.
dismantle,to take apart piece by piece,disassemble,deconstruct,assemble,construct,They had to dismantle the tent before leaving the campsite.
dismay,shock and disappointment,alarm,distress,delight,reassurance,To her dismay she realised she had forgotten her lunch.
disparage,to criticise unfairly,belittle,demean,praise,compliment,It is wrong to disparage someone's honest efforts.
disparaging,expressing criticism and disrespect,critical,derogatory,complimentary,praising,His disparaging remarks upset the young performer.
disparate,very different from each other,different,diverse,similar,alike,The two artists had disparate styles of painting.
disparity,a great difference,difference,inequality,equality,similarity,There was a disparity in the treatment of the two groups.
dispassionate,not influenced by emotion,objective,impartial,emotional,passionate,The scientist took a dispassionate view of the evidence.
dispel,to drive away or make disappear,banish,eliminate,create,cause,The warm sunshine helped dispel the morning fog.
disperse,to scatter or spread in different directions,scatter,spread,gather,collect,The crowd began to disperse after the show ended.
disputatious,fond of arguing,argumentative,contentious,agreeable,peaceable,The disputatious student argued about every little thing.
disseminate,to spread information widely,spread,distribute,withhold,suppress,The school worked to disseminate the new safety rules.
dissent,disagreement with an official view,disagreement,opposition,agreement,consent,Some members voiced their dissent about the new rules.
dissipate,to disappear or waste,disperse,scatter,accumulate,gather,The morning mist began to dissipate as the sun rose.
dissonance,a lack of harmony or agreement,discord,clash,harmony,agreement,There was dissonance between what he said and did.
dissuade,to persuade someone not to do something,discourage,deter,encourage,persuade,His friends tried to dissuade him from taking the risk.
distant,far away in space or time,far,remote,near,close,The distant mountains were covered in snow.
distasteful,unpleasant or offensive,unpleasant,offensive,pleasant,agreeable,She found his rude jokes distasteful.
distinguished,respected and eminent,eminent,renowned,unknown,ordinary,The distinguished scientist received many awards.
distort,to twist out of shape or misrepresent,twist,warp,straighten,correct,The broken mirror seemed to distort her reflection.
distress,extreme worry or suffering,anguish,suffering,comfort,relief,The lost child showed signs of distress.
distressing,causing worry or upset,upsetting,disturbing,comforting,reassuring,The distressing news spread quickly through the school.
disturbing,causing worry or unease,troubling,alarming,reassuring,calming,The disturbing film gave her nightmares for days.
divergent,developing in different directions,different,varying,similar,convergent,Their divergent opinions made agreement difficult.
diverse,showing great variety,varied,assorted,uniform,identical,The school celebrated its diverse community of pupils.
divine,relating to God or extremely good,godly,heavenly,earthly,mortal,The choir sang with divine beauty.
divinity,the state of being divine or godlike,godliness,deity,mortality,humanity,The ancient temple was dedicated to a local divinity.
divulge,to reveal secret information,reveal,disclose,conceal,hide,She refused to divulge the whereabouts of the treasure.
docile,quiet and easy to control,obedient,submissive,unruly,rebellious,The docile pony was perfect for young riders.
doctrine,a set of beliefs taught by a group,belief,teaching,doubt,uncertainty,The religious doctrine guided their daily lives.
dogmatic,asserting opinions as if they are facts,opinionated,inflexible,open-minded,flexible,His dogmatic approach made discussion difficult.
dormant,temporarily inactive,inactive,sleeping,active,awake,The volcano had been dormant for hundreds of years.
double,twice as much or consisting of two parts,twice,twofold,single,half,She ordered a double portion of chips.
doubtful,feeling uncertain about something,uncertain,unsure,certain,confident,He was doubtful about whether the plan would work.
drought,a long period without rain,dry spell,aridity,flood,deluge,The drought caused crops to fail across the region.
dubious,doubtful or of questionable quality,doubtful,uncertain,certain,trustworthy,His dubious excuse did not convince the teacher.
duplicity,deceitfulness and double-dealing,deceit,dishonesty,honesty,sincerity,His duplicity was revealed when the truth came out.
durable,able to last a long time without damage,lasting,sturdy,fragile,weak,The durable boots lasted through many hiking trips.
duration,the length of time something lasts,length,period,brevity,instant,The duration of the film was two hours exactly.
duress,pressure or force used to make someone act,coercion,pressure,freedom,choice,The confession was made under duress and was invalid.
dutiful,doing one's duty faithfully,obedient,conscientious,negligent,disobedient,The dutiful son visited his elderly parents every week.
dwelling,a place where someone lives,home,residence,workplace,office,The old dwelling had been in the family for generations.
dwindle,to gradually become smaller or fewer,decrease,diminish,increase,grow,The supplies began to dwindle as winter continued.
earnest,serious and sincere,serious,sincere,frivolous,insincere,She made an earnest promise to do better next time.
ebullient,cheerful and full of energy,exuberant,enthusiastic,subdued,gloomy,The ebullient puppy bounced around the garden happily.
eccentric,unconventional and slightly strange,unusual,quirky,conventional,normal,The eccentric inventor had many strange ideas.
eclectic,selecting from various sources,varied,diverse,uniform,narrow,Her eclectic taste in music included jazz rock and classical.
eclipse,to block the light or outshine something,outshine,overshadow,reveal,expose,The moon will eclipse the sun tomorrow morning.
edible,safe to eat,eatable,consumable,inedible,poisonous,Not all mushrooms are edible so be careful.
eerie,strange and frightening,spooky,creepy,normal,comforting,The eerie silence in the old house made us nervous.
effervescent,bubbly and lively,bubbly,vivacious,flat,dull,Her effervescent personality brightened everyone's day.
effigy,a sculpture or model of a person,figure,statue,original,person,They burned an effigy of the villain on bonfire night.
effusion,an outpouring of emotion,outpouring,gush,restraint,suppression,His effusion of gratitude embarrassed the modest helper.
egotistical,having too high an opinion of oneself,conceited,self-centred,humble,modest,The egotistical actor only talked about himself.
elated,extremely happy and excited,thrilled,overjoyed,dejected,disappointed,She was elated when she heard she had won the prize.
eloquence,the ability to speak well and persuasively,fluency,expressiveness,inarticulacy,awkwardness,Her eloquence impressed everyone at the debate.
eloquent,expressing ideas clearly and persuasively,articulate,fluent,inarticulate,unclear,The eloquent speaker moved the audience to tears.
elude,to escape from or avoid,escape,evade,capture,confront,The clever fox managed to elude the hunters again.
elusive,difficult to find catch or understand,evasive,slippery,accessible,available,The elusive butterfly flew away before she could catch it.
emanate,to come out from a source,emerge,radiate,absorb,contain,A pleasant smell began to emanate from the kitchen.
embellish,to make more attractive or interesting,decorate,adorn,simplify,strip,The storyteller liked to embellish her tales with details.
embroiled,deeply involved in an argument or difficult situation,involved,entangled,uninvolved,free,The two countries became embroiled in a bitter dispute.
eminent,famous and respected,distinguished,renowned,unknown,obscure,The eminent scientist gave a talk at our school.
emphasis,special importance given to something,stress,importance,understatement,neglect,The teacher placed emphasis on good handwriting.
emphatic,expressing something forcefully,forceful,definite,hesitant,uncertain,She gave an emphatic yes to the exciting invitation.
emulate,to try to equal or copy someone admired,imitate,copy,ignore,reject,She tried to emulate her older sister's success.
enchant,to delight or cast a spell over,charm,captivate,bore,repel,The beautiful garden seemed to enchant all who visited.
enchanting,delightfully charming,charming,captivating,boring,repulsive,The enchanting fairy tale captivated the young listeners.
endeavour,to try hard to achieve something,attempt,strive,abandon,neglect,She will endeavour to complete the project on time.
endorse,to declare support for something,support,approve,oppose,reject,The famous athlete agreed to endorse the new trainers.
endure,to suffer through or last,bear,withstand,surrender,avoid,The runners had to endure extreme heat during the race.
enduring,lasting for a long time,lasting,permanent,temporary,fleeting,Their enduring friendship lasted throughout their lives.
engender,to cause or give rise to,cause,produce,prevent,destroy,Trust can engender loyalty in a team.
engrossed,fully absorbed in something,absorbed,captivated,distracted,bored,She was so engrossed in her book she missed her stop.
enigma,a mysterious or puzzling person or thing,mystery,puzzle,clarity,simplicity,The disappearance of the treasure remained an enigma.
enigmatic,mysterious and difficult to understand,mysterious,puzzling,clear,obvious,The enigmatic smile on her face puzzled everyone.
enmity,deep hatred between enemies,hostility,hatred,friendship,goodwill,There was enmity between the two rival schools.
enormity,great wickedness or huge size,vastness,immensity,smallness,insignificance,The enormity of the problem became clear over time.
enormousness,extremely large size,hugeness,immensity,tininess,smallness,The enormousness of the whale impressed the watchers.
enrage,to make very angry,infuriate,anger,calm,soothe,The unfair decision enraged the players and fans.
entendre,an expression with two meanings,ambiguity,double meaning,clarity,directness,The comedian's double entendre made the adults laugh.
enterprise,a project or business venture,venture,project,inactivity,idleness,Starting a lemonade stand was her first business enterprise.
enthral,to capture attention completely,captivate,fascinate,bore,repel,The storyteller could enthral audiences for hours.
enthralling,extremely interesting and captivating,captivating,gripping,boring,dull,The enthralling adventure story kept us reading all night.
enthusiasm,eager enjoyment and interest,eagerness,excitement,apathy,indifference,Her enthusiasm for art was obvious to everyone.
enumerate,to list one by one,list,count,combine,group,She began to enumerate the reasons for her decision.
envelop,to completely surround or cover,surround,wrap,expose,uncover,Fog began to envelop the entire valley.
ephemeral,lasting for a very short time,fleeting,brief,permanent,lasting,The ephemeral beauty of cherry blossom lasts only days.
epic,grand in scale or heroic,grand,heroic,trivial,minor,The epic journey across the mountains took three weeks.
epiphany,a sudden moment of understanding,realisation,revelation,confusion,ignorance,She had an epiphany about how to solve the puzzle.
episodic,happening in separate episodes,intermittent,occasional,continuous,constant,The episodic nature of the show made it easy to follow.
epoch,a period of time in history,era,age,moment,instant,The dinosaurs lived in a different geological epoch.
eponym,a person after whom something is named,namesake,source,copy,imitation,Sandwich is an eponym from the Earl of Sandwich.
equanimity,mental calmness and composure,composure,calmness,agitation,anxiety,She faced the difficult situation with equanimity.
equipped,provided with necessary items,supplied,prepared,unprepared,lacking,The fully equipped kitchen had everything we needed.
equivocal,having more than one meaning or unclear,ambiguous,vague,clear,definite,His equivocal answer did not satisfy the curious reporter.
equivocate,to speak vaguely to avoid commitment,hedge,prevaricate,declare,state,The politician tried to equivocate when asked directly.
era,a long period of history,age,epoch,moment,instant,The Victorian era was a time of great change.
erasable,able to be rubbed out,removable,deletable,permanent,indelible,She always used an erasable pen for her maths work.
erect,upright or to build something,upright,vertical,horizontal,slouching,They planned to erect a new flagpole in the playground.
errand,a short journey to do a task,task,mission,destination,home,She ran an errand to the shops for her grandmother.
erratic,unpredictable and inconsistent,unpredictable,irregular,consistent,steady,His erratic behaviour worried his friends and family.
erroneous,containing errors or incorrect,incorrect,wrong,correct,accurate,The erroneous report had to be corrected immediately.
erudite,having great knowledge and learning,learned,scholarly,ignorant,uneducated,The erudite professor knew everything about ancient history.
escalate,to increase in intensity or severity,intensify,increase,decrease,diminish,The small disagreement began to escalate into a fight.
esoteric,understood by only a few people,obscure,specialist,common,accessible,The esoteric subject was studied by only a few experts.
espouse,to adopt or support a cause,support,advocate,oppose,reject,He decided to espouse the cause of animal welfare.
esteem,respect and admiration,respect,regard,contempt,disrespect,She was held in high esteem by all her colleagues.
ethereal,extremely delicate and light,delicate,heavenly,earthly,solid,The ethereal music seemed to float through the air.
eulogy,a speech praising someone who has died,tribute,praise,criticism,condemnation,The eulogy celebrated the life of the much-loved teacher.
euphemism,a mild word used instead of an offensive one,polite term,substitute,bluntness,directness,Passed away is a euphemism for died.
euphonious,pleasant sounding,melodious,harmonious,cacophonous,harsh,The euphonious melody was pleasant to listen to.
euphoria,a feeling of intense happiness,elation,joy,despair,misery,The team felt euphoria after winning the championship.
evaluation,a careful assessment,assessment,appraisal,guess,assumption,The teacher's evaluation of her work was very positive.
evanescent,quickly fading or disappearing,fleeting,transient,permanent,lasting,The evanescent rainbow disappeared within minutes.
exacerbate,to make a problem worse,worsen,aggravate,improve,alleviate,Complaining will only exacerbate the situation.
exacting,demanding high standards,demanding,rigorous,lenient,easy,The exacting teacher expected perfect homework every time.
exaggerate,to make something seem larger than it is,overstate,amplify,understate,minimise,He tends to exaggerate when telling his fishing stories.
exalt,to praise or raise in rank,praise,glorify,demote,criticise,The poem was written to exalt the heroic deeds of the knight.
exasperated,extremely annoyed and frustrated,frustrated,irritated,pleased,calm,She was exasperated by the constant interruptions.
exception,something not following the general rule,exclusion,anomaly,norm,rule,Every rule has an exception according to the saying.
exclaim,to cry out suddenly,shout,cry,whisper,murmur,Oh no she exclaimed when she saw the mess.
excruciating,extremely painful,agonising,torturous,pleasant,painless,The excruciating toothache kept her awake all night.
exemplary,serving as an excellent example,ideal,perfect,poor,flawed,Her exemplary behaviour earned her a special award.
exemplify,to serve as an example of,illustrate,demonstrate,contradict,misrepresent,Her kindness exemplified the values of the school.
exhaustive,thorough and complete,comprehensive,thorough,superficial,incomplete,The police conducted an exhaustive search of the area.
exhilarating,making one feel very happy and excited,thrilling,exciting,boring,depressing,The exhilarating ride on the rollercoaster was unforgettable.
exhort,to strongly encourage or urge,urge,encourage,discourage,dissuade,The coach exhorted the team to give their best effort.
exonerate,to clear someone of blame,acquit,clear,blame,accuse,The new evidence helped to exonerate the innocent man.
expedient,convenient but not necessarily fair,convenient,practical,inconvenient,principled,Taking a shortcut was expedient but not the best route.
