word,assigned_level,short_reason,sources,difficulty_score
Consent,level2,"frequency: seen regularly, though slightly less everyday — concept: understandable but can vary by context — structure: longer spelling and likely more syllables — nuance: meaning shifts slightly across contexts",11PlusGuideY5-6|ExamNinja,2.25
Consenting,level3,"frequency: more bookish and not used daily | concept: precise meaning used in careful writing | structure: extended spelling, which can slow reading | nuance: often used in a particular register (formal/precise)",ExamNinja,3.25
Conserve,level2,"frequency: common, but not constant in daily talk — concept: mostly clear, with a slightly broader meaning — structure: not difficult to spell, but longer than everyday words — nuance: meaning shifts slightly across cont",11PlusGuideY5-6|ExamNinja,2.75
Consideration,level4,"frequency: low‑frequency, high‑level vocabulary — concept: highly nuanced or abstract — structure: “-tion” ending makes it more multi-syllable — nuance: subtle register and connotations; easy to misuse",11PlusGuideY5-6|ExamNinja,4.0
Consist,level2,"frequency: common, but not constant in daily talk; concept: understandable but can vary by context; structure: ends with “-ist”, a common but longer word ending; nuance: can be used figuratively as well as literally",11PlusGuideY5-6|ExamNinja,2.25
Consistency,level3,frequency: relatively uncommon outside reading and lessons — concept: abstract or specialised idea — structure: long and multi-syllable — nuance: often used in a particular register (formal/precise),ExamNinja,3.25
Conspicuous,level4,"frequency: uncommon and quite formal | concept: highly nuanced or abstract | structure: has the suffix “-ous”, which often appears in formal vocabulary | nuance: subtle register and connotations; easy to misuse",11PlusSuccess2019-2020|ExamNinja,3.5
Conspire,level2,"frequency: fairly common in books and schoolwork — concept: mostly clear, with a slightly broader meaning — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally","11PlusGuideY5-6,TrickyList2024|ExamNinja",2.75
Constant,level3,frequency: relatively uncommon outside reading and lessons — concept: abstract or specialised idea — structure: longer spelling and likely more syllables — nuance: used for precise shades of meaning,11PlusGuideY5-6|ExamNinja,3.25
Constraint,level3,frequency: more bookish and not used daily | concept: precise meaning used in careful writing | structure: long and multi-syllable | nuance: used for precise shades of meaning,ExamNinja,3.25
Construe,level2,"frequency: common, but not constant in daily talk | concept: moderately abstract compared with basic words | structure: longer spelling and likely more syllables | nuance: meaning shifts slightly across contexts",ExamNinja,2.75
Consume,level1,"frequency: often heard and read by children; concept: easy, straightforward idea; structure: not difficult to spell, but longer than everyday words; nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Contagious,level4,"frequency: uncommon and quite formal; concept: subtle meaning that depends strongly on context; structure: ends with “-ous”, a common but longer word ending; nuance: meaning can be delicate and context‑dependent",ExamNinja,3.5
Contemplate,level3,"frequency: less common; often appears in formal writing; concept: more nuanced than a simple everyday term; structure: extended spelling, which can slow reading; nuance: often used in a particular register (formal/precis",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,3.25
Contemporary,level4,"frequency: rare; mainly found in advanced or academic texts; concept: sophisticated idea that needs careful interpretation; structure: has the suffix “-ary”, which often appears in formal vocabulary; nuance: meaning can",11PlusGuideY5-6|ExamNinja,3.5
Contempt,level2,"frequency: seen regularly, though slightly less everyday — concept: mostly clear, with a slightly broader meaning — structure: medium length with more to sound out — nuance: meaning shifts slightly across contexts","11PlusGuideY5-6,TrickyList2024|ExamNinja",2.75
Contemptible,level4,frequency: rare; mainly found in advanced or academic texts | concept: subtle meaning that depends strongly on context | structure: “-ible” ending makes it more multi-syllable | nuance: subtle register and connotations;,ExamNinja,3.5
Contemptuous,level4,"frequency: uncommon and quite formal — concept: subtle meaning that depends strongly on context — structure: has the suffix “-ous”, which often appears in formal vocabulary — nuance: strong connotation and precise usage",ExamNinja,3.5
Contend,level1,frequency: high‑use everyday word | concept: simple meaning tied to everyday situations | structure: longer spelling and likely more syllables | nuance: meaning is rarely confused,ExamNinja,2.0
Content,level2,frequency: fairly common in books and schoolwork; concept: understandable but can vary by context; structure: longer spelling and likely more syllables; nuance: meaning shifts slightly across contexts,11PlusGuideY5-6|ExamNinja,2.25
Contented,level3,frequency: less common; often appears in formal writing — concept: more nuanced than a simple everyday term — structure: longer spelling and likely more syllables — nuance: used for precise shades of meaning,11PlusSuccess2019-2020|ExamNinja,3.0
Contentious,level4,"frequency: uncommon and quite formal — concept: sophisticated idea that needs careful interpretation — structure: has the suffix “-ous”, which often appears in formal vocabulary — nuance: subtle register and connotations",ExamNinja,3.5
Contest,level2,frequency: fairly common in books and schoolwork | concept: moderately abstract compared with basic words | structure: longer spelling and likely more syllables | nuance: meaning shifts slightly across contexts,11PlusGuideY5-6|ExamNinja,2.25
Continuous,level4,"frequency: rare; mainly found in advanced or academic texts — concept: subtle meaning that depends strongly on context — structure: has the suffix “-ous”, which often appears in formal vocabulary — nuance: meaning can be",TrickyList2024,3.5
Contract,level2,"frequency: common, but not constant in daily talk — concept: understandable but can vary by context — structure: longer spelling and likely more syllables — nuance: meaning shifts slightly across contexts",11PlusGuideY5-6|ExamNinja,2.75
Contrast,level2,"frequency: seen regularly, though slightly less everyday — concept: understandable but can vary by context — structure: longer spelling and likely more syllables — nuance: sometimes overlaps with similar words",11PlusGuideY5-6|ExamNinja,2.75
Contribute,level3,"frequency: more bookish and not used daily — concept: more nuanced than a simple everyday term — structure: extended spelling, which can slow reading — nuance: often used in a particular register (formal/precise)",11PlusGuideY5-6|ExamNinja,3.25
Contrite,level2,"frequency: fairly common in books and schoolwork; concept: mostly clear, with a slightly broader meaning; structure: medium length with more to sound out; nuance: can be used figuratively as well as literally",ExamNinja,2.75
Contrition,level4,"frequency: low‑frequency, high‑level vocabulary; concept: subtle meaning that depends strongly on context; structure: has the suffix “-tion”, which often appears in formal vocabulary; nuance: meaning can be delicate and",ExamNinja,4.0
Contrived,level3,frequency: more bookish and not used daily — concept: precise meaning used in careful writing — structure: medium length with more to sound out — nuance: can be confused with near‑synonyms if used loosely,ExamNinja,3.0
Conundrum,level2,"frequency: common, but not constant in daily talk — concept: understandable but can vary by context — structure: medium length with more to sound out — nuance: meaning shifts slightly across contexts",TrickyList2024,2.75
Conventional,level4,"frequency: low‑frequency, high‑level vocabulary; concept: subtle meaning that depends strongly on context; structure: ends with “-al”, a common but longer word ending; nuance: meaning can be delicate and context‑dependen",11PlusGuideY5-6|ExamNinja,3.5
Convert,level1,frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: medium length with more to sound out — nuance: meaning is rarely confused,11PlusGuideY5-6|ExamNinja,2.0
Convey,level2,"frequency: seen regularly, though slightly less everyday; concept: understandable but can vary by context; structure: short and simple in form; nuance: meaning shifts slightly across contexts",11PlusGuideY5-6|ExamNinja,2.25
Convict,level1,frequency: high‑use everyday word — concept: clear and concrete — structure: longer spelling and likely more syllables — nuance: used in a straightforward way,11PlusGuideY5-6|ExamNinja,2.0
Convince,level2,"frequency: common, but not constant in daily talk — concept: moderately abstract compared with basic words — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally","11PlusGuideY5-6,TrickyList2024|ExamNinja",2.75
Convoluted,level3,"frequency: less common; often appears in formal writing — concept: abstract or specialised idea — structure: extended spelling, which can slow reading — nuance: used for precise shades of meaning",11PlusSuccess2019-2020|ExamNinja,3.25
Cooperative,level4,"frequency: low‑frequency, high‑level vocabulary — concept: sophisticated idea that needs careful interpretation — structure: ends with “-ive”, a common but longer word ending — nuance: meaning can be delicate and context",TrickyList2024,3.75
Copious,level2,"frequency: seen regularly, though slightly less everyday; concept: moderately abstract compared with basic words; structure: “-ous” ending makes it more multi-syllable; nuance: meaning shifts slightly across contexts",ExamNinja,2.25
Cordial,level2,"frequency: common, but not constant in daily talk — concept: mostly clear, with a slightly broader meaning — structure: ends with “-ial”, a common but longer word ending — nuance: sometimes overlaps with similar words",TrickyList2024|ExamNinja,2.25
Corroborate,level3,"frequency: less common; often appears in formal writing — concept: more nuanced than a simple everyday term — structure: extended spelling, which can slow reading — nuance: often used in a particular register (formal/pre",11PlusSuccess2019-2020|ExamNinja,3.25
Corrosive,level3,"frequency: less common; often appears in formal writing — concept: abstract or specialised idea — structure: ends with “-ive”, a common but longer word ending — nuance: used for precise shades of meaning",11PlusSuccess2019-2020|ExamNinja,3.25
Courageous,level4,frequency: uncommon and quite formal — concept: subtle meaning that depends strongly on context — structure: “-ous” ending makes it more multi-syllable — nuance: subtle register and connotations; easy to misuse,ExamNinja,3.5
Covert,level1,"frequency: high‑use everyday word | concept: easy, straightforward idea | structure: compact spelling with no tricky affixes | nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Covet,level1,frequency: very common in everyday speech — concept: clear and concrete — structure: short and simple in form — nuance: meaning is rarely confused,11PlusGuideY5-6|ExamNinja,1.75
Craving,level1,frequency: very common in everyday speech — concept: clear and concrete — structure: longer spelling and likely more syllables — nuance: meaning is rarely confused,ExamNinja,2.0
Credence,level3,"frequency: less common; often appears in formal writing | concept: more nuanced than a simple everyday term | structure: ends with “-ence”, a common but longer word ending | nuance: can be confused with near‑synonyms if",ExamNinja,3.0
Credibility,level4,"frequency: uncommon and quite formal — concept: subtle meaning that depends strongly on context — structure: ends with “-ity”, a common but longer word ending — nuance: strong connotation and precise usage expected",11PlusSuccess2019-2020|ExamNinja,4.0
Credit,level1,frequency: very common in everyday speech — concept: clear and concrete — structure: short and simple in form — nuance: used in a straightforward way,11PlusGuideY5-6|ExamNinja,2.0
Credulous,level3,"frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: ends with “-ous”, a common but longer word ending; nuance: used for precise shades of meaning",ExamNinja,3.0
Crest-fallen,level3,frequency: more bookish and not used daily | concept: abstract or specialised idea | structure: long and multi-syllable | nuance: often used in a particular register (formal/precise),ExamNinja,3.25
Criterion,level2,"frequency: seen regularly, though slightly less everyday — concept: mostly clear, with a slightly broader meaning — structure: medium length with more to sound out — nuance: sometimes overlaps with similar words",ExamNinja,2.75
Crucial,level1,"frequency: often heard and read by children; concept: easy, straightforward idea; structure: ends with “-ial”, a common but longer word ending; nuance: meaning is rarely confused",11PlusSuccess2019-2020|ExamNinja,2.0
Cryptic,level1,"frequency: often heard and read by children — concept: clear and concrete — structure: has the suffix “-ic”, which often appears in formal vocabulary — nuance: usually literal and unambiguous",ExamNinja,2.0
Culpable,level3,frequency: less common; often appears in formal writing | concept: more nuanced than a simple everyday term | structure: “-able” ending makes it more multi-syllable | nuance: used for precise shades of meaning,11PlusSuccess2019-2020|ExamNinja,3.0
Cultivate,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally",11PlusGuideY5-6|ExamNinja,2.75
Cunning,level1,"frequency: high‑use everyday word | concept: clear and concrete | structure: not difficult to spell, but longer than everyday words | nuance: usually literal and unambiguous",11PlusGuideY5-6|ExamNinja,2.0
Curate,level1,"frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: not difficult to spell, but longer than everyday words; nuance: usually literal and unambiguous",11PlusSuccess2019-2020|ExamNinja,2.0
Curious,level1,"frequency: very common in everyday speech — concept: easy, straightforward idea — structure: ends with “-ous”, a common but longer word ending — nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Cursory,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: not difficult to spell, but longer than everyday words — nuance: meaning shifts slightly acro",11PlusSuccess2019-2020|ExamNinja,2.25
Curtail,level1,frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: longer spelling and likely more syllables — nuance: meaning is rarely confused,11PlusSuccess2019-2020|ExamNinja,2.0
Customary,level3,"frequency: relatively uncommon outside reading and lessons; concept: more nuanced than a simple everyday term; structure: ends with “-ary”, a common but longer word ending; nuance: often used in a particular register (fo",11PlusSuccess2019-2020|ExamNinja,3.25
Cynic,level1,"frequency: often heard and read by children | concept: easy, straightforward idea | structure: ends with “-ic”, a common but longer word ending | nuance: used in a straightforward way",ExamNinja,2.0
Cynicism,level3,"frequency: more bookish and not used daily — concept: abstract or specialised idea — structure: has the suffix “-ism”, which often appears in formal vocabulary — nuance: used for precise shades of meaning",ExamNinja,3.0
Dawdle,level1,frequency: very common in everyday speech; concept: clear and concrete; structure: short and simple in form; nuance: meaning is rarely confused,ExamNinja,2.0
Dazzling,level2,"frequency: fairly common in books and schoolwork; concept: mostly clear, with a slightly broader meaning; structure: longer spelling and likely more syllables; nuance: sometimes overlaps with similar words",ExamNinja,2.75
Dearth,level1,"frequency: often heard and read by children — concept: simple meaning tied to everyday situations — structure: prefixed with “de-”, making the form less straightforward — nuance: usually literal and unambiguous",ExamNinja,2.0
Debilitate,level3,"frequency: relatively uncommon outside reading and lessons | concept: abstract or specialised idea | structure: prefixed with “de-”, making the form less straightforward | nuance: used for precise shades of meaning",ExamNinja,3.25
Debonair,level2,"frequency: seen regularly, though slightly less everyday — concept: understandable but can vary by context — structure: includes the prefix “de-”, changing the base meaning — nuance: meaning shifts slightly across contex",TrickyList2024,2.75
Debrief,level1,"frequency: high‑use everyday word | concept: easy, straightforward idea | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Debunk,level1,"frequency: often heard and read by children — concept: easy, straightforward idea — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: meaning is rarely confused",ExamNinja,2.0
Decadent,level3,"frequency: relatively uncommon outside reading and lessons — concept: precise meaning used in careful writing — structure: prefixed with “de-”, making the form less straightforward — nuance: often used in a particular re",ExamNinja,3.25
Deceit,level1,"frequency: high‑use everyday word — concept: easy, straightforward idea — structure: includes the prefix “de-”, changing the base meaning — nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Deceive,level2,"frequency: fairly common in books and schoolwork; concept: moderately abstract compared with basic words; structure: built with “de-” and “-ive”, so it is longer and more complex; nuance: meaning shifts slightly across c",11PlusGuideY5-6|ExamNinja,2.25
Decisive,level3,"frequency: less common; often appears in formal writing | concept: more nuanced than a simple everyday term | structure: has a prefix (“de-”) and a suffix (“-ive”), making it multi-part | nuance: used for precise shades",ExamNinja,3.25
Decline,level1,"frequency: often heard and read by children; concept: simple meaning tied to everyday situations; structure: includes the prefix “de-”, changing the base meaning; nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Decorum,level2,"frequency: common, but not constant in daily talk — concept: moderately abstract compared with basic words — structure: prefixed with “de-”, making the form less straightforward — nuance: can be used figuratively as well",ExamNinja,2.25
Decree,level1,"frequency: very common in everyday speech | concept: easy, straightforward idea | structure: prefixed with “de-”, making the form less straightforward | nuance: usually literal and unambiguous",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,2.0
Deduction,level3,"frequency: less common; often appears in formal writing | concept: more nuanced than a simple everyday term | structure: contains common affixes (“de-”, “-tion”), which adds complexity | nuance: used for precise shades o",TrickyList2024,3.25
Defame,level1,"frequency: high‑use everyday word | concept: clear and concrete | structure: includes the prefix “de-”, changing the base meaning | nuance: used in a straightforward way",ExamNinja,2.0
Deference,level3,"frequency: less common; often appears in formal writing — concept: abstract or specialised idea — structure: contains common affixes (“de-”, “-ence”), which adds complexity — nuance: can be confused with near‑synonyms if",ExamNinja,3.25
Defiance,level3,"frequency: less common; often appears in formal writing; concept: abstract or specialised idea; structure: built with “de-” and “-ance”, so it is longer and more complex; nuance: used for precise shades of meaning",ExamNinja,3.25
Defy,level1,"frequency: often heard and read by children; concept: easy, straightforward idea; structure: compact spelling with no tricky affixes; nuance: usually literal and unambiguous",11PlusSuccess2019-2020|ExamNinja,1.75
Degenerate,level3,"frequency: relatively uncommon outside reading and lessons | concept: abstract or specialised idea | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: can be confused with near‑synonyms if us",ExamNinja,3.25
Degrade,level1,"frequency: often heard and read by children; concept: easy, straightforward idea; structure: uses “de-” at the start, so pupils must unpack the prefix; nuance: meaning is rarely confused",ExamNinja,2.0
Deject,level1,"frequency: very common in everyday speech — concept: easy, straightforward idea — structure: prefixed with “de-”, making the form less straightforward — nuance: usually literal and unambiguous",11PlusSuccess2019-2020|ExamNinja,2.0
Delectable,level4,"frequency: low‑frequency, high‑level vocabulary — concept: highly nuanced or abstract — structure: built with “de-” and “-able”, so it is longer and more complex — nuance: subtle register and connotations; easy to misuse",11PlusSuccess2019-2020|ExamNinja,3.5
Deliberate,level3,"frequency: relatively uncommon outside reading and lessons | concept: abstract or specialised idea | structure: prefixed with “de-”, making the form less straightforward | nuance: often used in a particular register (for",11PlusGuideY5-6|ExamNinja,3.25
Delightful,level3,"frequency: less common; often appears in formal writing — concept: more nuanced than a simple everyday term — structure: built with “de-” and “-ful”, so it is longer and more complex — nuance: used for precise shades of",ExamNinja,3.25
Delineate,level3,"frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: prefixed with “de-”, making the form less straightforward; nuance: used for precise shades of meaning",ExamNinja,3.0
Delirious,level3,"frequency: relatively uncommon outside reading and lessons — concept: more nuanced than a simple everyday term — structure: has a prefix (“de-”) and a suffix (“-ous”), making it multi-part — nuance: often used in a parti",ExamNinja,3.25
Delude,level1,"frequency: high‑use everyday word — concept: simple meaning tied to everyday situations — structure: includes the prefix “de-”, changing the base meaning — nuance: usually literal and unambiguous",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,2.0
Deluded,level2,"frequency: common, but not constant in daily talk | concept: moderately abstract compared with basic words | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: meaning shifts slightly across c",ExamNinja,2.5
Deluge,level1,"frequency: often heard and read by children | concept: clear and concrete | structure: includes the prefix “de-”, changing the base meaning | nuance: used in a straightforward way",11PlusSuccess2019-2020|ExamNinja,2.0
Demeanour,level2,"frequency: common, but not constant in daily talk — concept: mostly clear, with a slightly broader meaning — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: can be used figuratively as well",ExamNinja,2.75
Demolished,level3,"frequency: relatively uncommon outside reading and lessons; concept: abstract or specialised idea; structure: includes the prefix “de-”, changing the base meaning; nuance: often used in a particular register (formal/prec",11PlusGuideY5-6|ExamNinja,3.25
Demote,level1,"frequency: often heard and read by children — concept: simple meaning tied to everyday situations — structure: includes the prefix “de-”, changing the base meaning — nuance: meaning is rarely confused",11PlusSuccess2019-2020|ExamNinja,2.0
Demotion,level3,"frequency: less common; often appears in formal writing; concept: abstract or specialised idea; structure: built with “de-” and “-tion”, so it is longer and more complex; nuance: can be confused with near‑synonyms if use",11PlusSuccess2019-2020|ExamNinja,3.25
Demure,level2,"frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: contains common affixes (“de-”, “-ure”), which adds complexity — nuance: sometimes overlaps with similar wor",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,2.5
Denounce,level2,"frequency: seen regularly, though slightly less everyday | concept: mostly clear, with a slightly broader meaning | structure: prefixed with “de-”, making the form less straightforward | nuance: meaning shifts slightly a",ExamNinja,2.75
Depict,level1,"frequency: very common in everyday speech; concept: clear and concrete; structure: prefixed with “de-”, making the form less straightforward; nuance: usually literal and unambiguous",ExamNinja,2.0
Deplore,level1,"frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: includes the prefix “de-”, changing the base meaning; nuance: usually literal and unambiguous",ExamNinja,2.0
Deploy,level2,"frequency: common, but not constant in daily talk — concept: mostly clear, with a slightly broader meaning — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: meaning shifts slightly across c",11PlusSuccess2019-2020|ExamNinja,2.25
Deposit,level2,"frequency: fairly common in books and schoolwork; concept: mostly clear, with a slightly broader meaning; structure: prefixed with “de-”, making the form less straightforward; nuance: sometimes overlaps with similar word",11PlusGuideY5-6|ExamNinja,2.25
Depot,level1,"frequency: often heard and read by children; concept: easy, straightforward idea; structure: uses “de-” at the start, so pupils must unpack the prefix; nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,1.75
Depraved,level3,"frequency: more bookish and not used daily — concept: more nuanced than a simple everyday term — structure: includes the prefix “de-”, changing the base meaning — nuance: used for precise shades of meaning",ExamNinja,3.0
Depravity,level4,"frequency: low‑frequency, high‑level vocabulary | concept: subtle meaning that depends strongly on context | structure: has a prefix (“de-”) and a suffix (“-ity”), making it multi-part | nuance: strong connotation and pr",ExamNinja,3.5
Deprecate,level3,"frequency: more bookish and not used daily — concept: abstract or specialised idea — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: often used in a particular register (formal/precise)",ExamNinja,3.0
Depressing,level3,"frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: includes the prefix “de-”, changing the base meaning; nuance: can be confused with near‑synonyms if us",ExamNinja,3.25
Derail,level1,"frequency: very common in everyday speech — concept: easy, straightforward idea — structure: prefixed with “de-”, making the form less straightforward — nuance: used in a straightforward way",11PlusSuccess2019-2020|ExamNinja,2.0
Deranged,level3,"frequency: more bookish and not used daily; concept: abstract or specialised idea; structure: prefixed with “de-”, making the form less straightforward; nuance: used for precise shades of meaning",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,3.0
Derelict,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: includes the prefix “de-”, changing the base meaning — nuance: can be used figuratively as we","11PlusGuideY5-6,TrickyList2024|ExamNinja",2.75
Deride,level1,"frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: usually literal and unambiguous",11PlusSuccess2019-2020|ExamNinja,2.0
Derision,level3,"frequency: more bookish and not used daily; concept: more nuanced than a simple everyday term; structure: has a prefix (“de-”) and a suffix (“-sion”), making it multi-part; nuance: can be confused with near‑synonyms if u",11PlusSuccess2019-2020|ExamNinja,3.25
Derisive,level3,"frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: built with “de-” and “-ive”, so it is longer and more complex; nuance: often used in a particular register (formal/",11PlusSuccess2019-2020|ExamNinja,3.25
Derivative,level4,"frequency: rare; mainly found in advanced or academic texts | concept: highly nuanced or abstract | structure: has a prefix (“de-”) and a suffix (“-ive”), making it multi-part | nuance: meaning can be delicate and contex",11PlusSuccess2019-2020|ExamNinja,3.75
Description,level4,"frequency: rare; mainly found in advanced or academic texts — concept: sophisticated idea that needs careful interpretation — structure: has a prefix (“de-”) and a suffix (“-tion”), making it multi-part — nuance: meaning",11PlusGuideY5-6|ExamNinja,4.0
Desecration,level4,"frequency: low‑frequency, high‑level vocabulary; concept: sophisticated idea that needs careful interpretation; structure: contains common affixes (“de-”, “-tion”), which adds complexity; nuance: subtle register and conn",ExamNinja,4.0
Desire,level1,"frequency: very common in everyday speech; concept: easy, straightforward idea; structure: uses “de-” at the start, so pupils must unpack the prefix; nuance: used in a straightforward way",ExamNinja,2.0
Desist,level2,"frequency: common, but not constant in daily talk | concept: mostly clear, with a slightly broader meaning | structure: built with “de-” and “-ist”, so it is longer and more complex | nuance: meaning shifts slightly acro",ExamNinja,2.25
Desolate,level3,"frequency: less common; often appears in formal writing | concept: precise meaning used in careful writing | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: often used in a particular regis",ExamNinja,3.0
Despair,level1,"frequency: often heard and read by children | concept: clear and concrete | structure: prefixed with “de-”, making the form less straightforward | nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Desperately,level3,"frequency: relatively uncommon outside reading and lessons | concept: more nuanced than a simple everyday term | structure: prefixed with “de-”, making the form less straightforward | nuance: often used in a particular r",11PlusGuideY5-6|ExamNinja,3.25
Despicable,level4,"frequency: uncommon and quite formal; concept: subtle meaning that depends strongly on context; structure: has a prefix (“de-”) and a suffix (“-able”), making it multi-part; nuance: meaning can be delicate and context‑de",ExamNinja,3.5
Despise,level2,"frequency: fairly common in books and schoolwork — concept: moderately abstract compared with basic words — structure: built with “de-” and “-ise”, so it is longer and more complex — nuance: meaning shifts slightly acros",11PlusGuideY5-6|ExamNinja,2.25
Despised,level3,"frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: includes the prefix “de-”, changing the base meaning; nuance: used for precise shades of meaning",11PlusSuccess2019-2020|ExamNinja,3.0
Despondent,level4,"frequency: low‑frequency, high‑level vocabulary | concept: highly nuanced or abstract | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: meaning can be delicate and context‑dependent",11PlusSuccess2019-2020|ExamNinja,3.5
Despot,level1,"frequency: very common in everyday speech; concept: clear and concrete; structure: includes the prefix “de-”, changing the base meaning; nuance: meaning is rarely confused",ExamNinja,2.0
Destination,level4,"frequency: uncommon and quite formal — concept: subtle meaning that depends strongly on context — structure: has a prefix (“de-”) and a suffix (“-tion”), making it multi-part — nuance: meaning can be delicate and context",TrickyList2024,4.0
Destitute,level2,"frequency: seen regularly, though slightly less everyday — concept: understandable but can vary by context — structure: includes the prefix “de-”, changing the base meaning — nuance: meaning shifts slightly across contex","11PlusGuideY5-6,TrickyList2024|11PlusSuccess2019-2020|ExamNinja",2.75
Detached,level3,"frequency: relatively uncommon outside reading and lessons — concept: more nuanced than a simple everyday term — structure: uses “de-” at the start, so pupils must unpack the prefix — nuance: used for precise shades of m",ExamNinja,3.0
Detain,level1,"frequency: often heard and read by children; concept: clear and concrete; structure: includes the prefix “de-”, changing the base meaning; nuance: meaning is rarely confused",11PlusSuccess2019-2020|ExamNinja,2.0
Deteriorate,level3,"frequency: more bookish and not used daily; concept: more nuanced than a simple everyday term; structure: uses “de-” at the start, so pupils must unpack the prefix; nuance: can be confused with near‑synonyms if used loos",TrickyList2024,3.25
Determine,level2,"frequency: fairly common in books and schoolwork — concept: mostly clear, with a slightly broader meaning — structure: includes the prefix “de-”, changing the base meaning — nuance: meaning shifts slightly across context",11PlusGuideY5-6|ExamNinja,2.75
Deterrent,level3,"frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: uses “de-” at the start, so pupils must unpack the prefix | nuance: used for precise shades of meaning",TrickyList2024|ExamNinja,3.25
Detractors,level3,"frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: prefixed with “de-”, making the form less straightforward | nuance: used for precise shades of meaning",11PlusSuccess2019-2020|ExamNinja,3.25
Detrimental,level4,"frequency: low‑frequency, high‑level vocabulary; concept: sophisticated idea that needs careful interpretation; structure: contains common affixes (“de-”, “-al”), which adds complexity; nuance: subtle register and connot",TrickyList2024|ExamNinja,3.5
Devious,level2,"frequency: common, but not constant in daily talk | concept: moderately abstract compared with basic words | structure: has a prefix (“de-”) and a suffix (“-ous”), making it multi-part | nuance: sometimes overlaps with s",TrickyList2024|ExamNinja,2.25
Devise,level2,"frequency: seen regularly, though slightly less everyday — concept: mostly clear, with a slightly broader meaning — structure: built with “de-” and “-ise”, so it is longer and more complex — nuance: can be used figurativ",ExamNinja,2.25
Devote,level1,"frequency: very common in everyday speech; concept: clear and concrete; structure: prefixed with “de-”, making the form less straightforward; nuance: usually literal and unambiguous",11PlusGuideY5-6|ExamNinja,2.0
Devoted,level2,"frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: includes the prefix “de-”, changing the base meaning — nuance: can be used figuratively as well as literally",TrickyList2024,2.5
Devour,level1,"frequency: often heard and read by children | concept: clear and concrete | structure: prefixed with “de-”, making the form less straightforward | nuance: usually literal and unambiguous",11PlusSuccess2019-2020|ExamNinja,2.0
Diabolical,level4,frequency: uncommon and quite formal — concept: sophisticated idea that needs careful interpretation — structure: “-al” ending makes it more multi-syllable — nuance: meaning can be delicate and context‑dependent,ExamNinja,3.5
Diametrically,level3,frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: long and multi-syllable | nuance: can be confused with near‑synonyms if used loosely,TrickyList2024,3.25
Diatribe,level2,"frequency: fairly common in books and schoolwork — concept: mostly clear, with a slightly broader meaning — structure: not difficult to spell, but longer than everyday words — nuance: sometimes overlaps with similar word",ExamNinja,2.75
