word,meaning,synonyms,antonyms,example_sentences
assess,"to evaluate or judge something","[""evaluate"", ""judge"", ""appraise""]","[""ignore"", ""overlook"", ""neglect""]","[""The teacher will assess your work fairly.""]"
assessment,"the evaluation of something","[""evaluation"", ""appraisal"", ""analysis""]","[""guess"", ""neglect"", ""ignore""]","[""The assessment showed good progress.""]"
asset,"something useful or valuable","[""advantage"", ""benefit"", ""resource""]","[""liability"", ""drawback"", ""weakness""]","[""Good communication is a valuable asset.""]"
assiduous,"showing great care and perseverance","[""diligent"", ""meticulous"", ""thorough""]","[""careless"", ""lazy"", ""negligent""]","[""She was assiduous in her research."", ""The assiduous student checked every answer twice.""]"
assimilate,"to absorb and understand information","[""absorb"", ""integrate"", ""incorporate""]","[""reject"", ""exclude"", ""separate""]","[""It takes time to assimilate new ideas.""]"
assist,"to help someone with a task","[""help"", ""aid"", ""support""]","[""hinder"", ""obstruct"", ""prevent""]","[""The teacher asked me to assist with the art project.""]"
assuage,"to make an unpleasant feeling less intense","[""ease"", ""relieve"", ""soothe""]","[""aggravate"", ""intensify"", ""worsen""]","[""Nothing could assuage her grief.""]"
assumption,"something accepted as true without proof","[""belief"", ""guess"", ""presumption"", ""supposition""]","[""certainty"", ""fact"", ""proof""]","[""That assumption may be incorrect."", ""That assumption turned out to be wrong.""]"
assure,"to tell someone something with confidence","[""promise"", ""guarantee"", ""convince""]","[""doubt"", ""question"", ""deny""]","[""I assure you the task will be done on time.""]"
astonish,"to surprise someone very much","[""amaze"", ""surprise"", ""shock""]","[""bore"", ""expect"", ""predict""]","[""The magic trick will astonish the audience.""]"
astound,"to shock or amaze greatly","[""amaze"", ""astonish"", ""stun""]","[""bore"", ""underwhelm"", ""expect""]","[""The magic show will astound the audience.""]"
astute,"having sharp judgement","[""shrewd"", ""clever"", ""perceptive""]","[""naive"", ""foolish"", ""gullible""]","[""The astute businessman saw the opportunity.""]"
atrocious,"horrifyingly wicked or of very poor quality","[""appalling"", ""dreadful"", ""terrible""]","[""admirable"", ""excellent"", ""wonderful""]","[""The weather was atrocious during our holiday.""]"
attach,"to join or fasten something to something else","[""connect"", ""fasten"", ""join""]","[""detach"", ""remove"", ""separate""]","[""Please attach the photo to your letter.""]"
attain,"to succeed in achieving something","[""achieve"", ""reach"", ""accomplish""]","[""fail"", ""miss"", ""lose""]","[""She worked hard to attain her dream.""]"
attempt,"to try to do something","[""try"", ""effort"", ""endeavour""]","[""succeed"", ""achieve"", ""give up""]","[""I will attempt to finish my homework before dinner.""]"
attentive,"paying close attention","[""alert"", ""observant"", ""watchful""]","[""inattentive"", ""distracted"", ""careless""]","[""The attentive student never missed a detail.""]"
attract,"to make someone interested or draw closer","[""draw"", ""pull"", ""charm""]","[""repel"", ""push away"", ""discourage""]","[""Bright colours attract butterflies to the garden.""]"
attribute,"a quality or characteristic","[""characteristic"", ""feature"", ""quality""]","[""defect"", ""flaw"", ""weakness""]","[""Kindness is an important attribute."", ""Patience is an important attribute.""]"
attrition,"gradual wearing down of opposition","[""erosion"", ""weakening"", ""depletion""]","[""strengthening"", ""growth"", ""reinforcement""]","[""They won through a war of attrition.""]"
audacious,"showing willingness to take bold risks","[""bold"", ""daring"", ""fearless""]","[""careful"", ""cautious"", ""cowardly"", ""timid""]","[""The audacious escape plan succeeded."", ""The audacious plan surprised everyone.""]"
audacity,"willingness to take bold risks","[""boldness"", ""daring"", ""nerve""]","[""caution"", ""cowardice"", ""timidity""]","[""He had the audacity to question the judge.""]"
augment,"to make something greater by adding to it","[""increase"", ""enhance"", ""supplement""]","[""decrease"", ""reduce"", ""diminish""]","[""She took a job to augment her income.""]"
auspicious,"showing signs of future success","[""favourable"", ""promising"", ""propitious""]","[""unfavourable"", ""inauspicious"", ""ominous""]","[""It was an auspicious start to the project.""]"
austere,"severe in manner or appearance","[""stern"", ""strict"", ""harsh""]","[""lenient"", ""indulgent"", ""luxurious""]","[""The austere headmaster demanded discipline.""]"
authentic,"genuine and not a copy","[""genuine"", ""real"", ""true""]","[""counterfeit"", ""fake"", ""false""]","[""The painting is an authentic masterpiece."", ""The painting was confirmed as authentic.""]"
authorise,"to give official permission for something","[""permit"", ""allow"", ""approve""]","[""forbid"", ""prohibit"", ""ban""]","[""Only the manager can authorise the purchase.""]"
authoritative,"reliable and commanding respect","[""official"", ""credible"", ""expert""]","[""unreliable"", ""dubious"", ""unofficial""]","[""The book is an authoritative guide on birds.""]"
autonomous,"self-governing and independent","[""free"", ""independent"", ""self-governing"", ""self-ruling"", ""sovereign""]","[""controlled"", ""dependent"", ""restricted"", ""subordinate""]","[""The region became an autonomous state."", ""The robot can make autonomous decisions.""]"
available,"ready to be used or accessed","[""accessible"", ""free"", ""obtainable""]","[""busy"", ""occupied"", ""taken"", ""unavailable""]","[""The book is available at the library.""]"
avarice,"extreme greed for wealth or material gain","[""covetousness"", ""cupidity"", ""greed""]","[""altruism"", ""charity"", ""generosity"", ""philanthropy""]","[""His avarice led him to cheat his partners."", ""His avarice led to his downfall.""]"
avaricious,"having extreme greed for wealth","[""greedy"", ""grasping"", ""covetous""]","[""generous"", ""charitable"", ""unselfish""]","[""The avaricious merchant cheated his customers.""]"
aver,"to state or assert something firmly","[""affirm"", ""assert"", ""declare""]","[""contradict"", ""deny"", ""retract""]","[""She averred that she was innocent.""]"
aversion,"a strong dislike or disinclination","[""antipathy"", ""dislike"", ""distaste""]","[""attraction"", ""fondness"", ""liking""]","[""She has an aversion to public speaking."", ""She has an aversion to spiders.""]"
avert,"to prevent something bad from happening","[""prevent"", ""avoid"", ""stop""]","[""cause"", ""allow"", ""enable""]","[""Quick action helped avert a disaster.""]"
avid,"showing keen interest or enthusiasm","[""enthusiastic"", ""keen"", ""eager""]","[""indifferent"", ""apathetic"", ""unenthusiastic""]","[""He is an avid reader of science fiction.""]"
avoid,"to stay away from something","[""dodge"", ""escape"", ""evade""]","[""face"", ""confront"", ""meet""]","[""Try to avoid stepping in puddles.""]"
awkward,"feeling uncomfortable or clumsy","[""clumsy"", ""uncomfortable"", ""uneasy""]","[""graceful"", ""confident"", ""comfortable""]","[""I felt awkward meeting new people.""]"
baffle,"to confuse or perplex someone","[""confuse"", ""puzzle"", ""mystify""]","[""clarify"", ""explain"", ""enlighten""]","[""The riddle continued to baffle everyone.""]"
balance,"to keep steady without falling","[""steady"", ""stabilise"", ""poise""]","[""wobble"", ""fall"", ""topple""]","[""Can you balance on one foot?""]"
baleful,"threatening harm; menacing","[""menacing"", ""sinister"", ""threatening""]","[""benevolent"", ""friendly"", ""kind""]","[""He gave her a baleful glare.""]"
banal,"lacking originality; commonplace","[""ordinary"", ""unoriginal"", ""trite""]","[""original"", ""novel"", ""unique""]","[""The dialogue was banal and predictable.""]"
barbaric,"extremely cruel and savage","[""savage"", ""cruel"", ""brutal""]","[""civilised"", ""humane"", ""kind""]","[""The treatment of prisoners was barbaric.""]"
barrier,"something that blocks the way","[""obstacle"", ""obstruction"", ""blockade""]","[""opening"", ""passage"", ""gateway""]","[""The fence acts as a barrier to keep animals out.""]"
basic,"forming an essential foundation","[""fundamental"", ""essential"", ""simple""]","[""advanced"", ""complex"", ""complicated""]","[""We learned the basic rules of the game.""]"
bastion,"a stronghold of beliefs or ideals","[""citadel"", ""fortress"", ""stronghold""]","[""gap"", ""vulnerability"", ""weakness""]","[""The university is a bastion of free speech.""]"
beam,"to smile very happily","[""grin"", ""smile"", ""radiate""]","[""frown"", ""scowl"", ""glare""]","[""She began to beam with happiness.""]"
beatific,"blissfully happy","[""angelic"", ""blissful"", ""serene""]","[""anguished"", ""miserable"", ""tormented""]","[""A beatific smile spread across her face.""]"
beautiful,"very pleasing to look at or listen to","[""lovely"", ""pretty"", ""gorgeous""]","[""ugly"", ""plain"", ""unattractive""]","[""The sunset was beautiful with pink and orange colours.""]"
beckon,"to signal someone to come closer","[""signal"", ""wave"", ""gesture""]","[""dismiss"", ""repel"", ""ignore""]","[""She beckoned the waiter to come over.""]"
beguile,"to charm or deceive","[""charm"", ""deceive"", ""enchant""]","[""bore"", ""enlighten"", ""repel""]","[""The magician will beguile the audience.""]"
behave,"to act in a particular way","[""act"", ""conduct"", ""perform""]","[""misbehave"", ""disobey"", ""rebel""]","[""Please behave well during the school trip.""]"
believe,"to think something is true","[""trust"", ""accept"", ""have faith""]","[""doubt"", ""disbelieve"", ""question""]","[""I believe you are telling the truth.""]"
belittle,"to make someone seem less important","[""demean"", ""diminish"", ""disparage""]","[""compliment"", ""elevate"", ""praise""]","[""Do not belittle other people's achievements.""]"
belligerent,"hostile and aggressive","[""hostile"", ""aggressive"", ""combative""]","[""peaceful"", ""friendly"", ""cooperative""]","[""The belligerent nations refused to negotiate.""]"
belong,"to be owned by or be a member of","[""own"", ""be part of"", ""fit""]","[""exclude"", ""separate"", ""divide""]","[""This book belongs to the library.""]"
beneath,"in a lower position; under something","[""under"", ""below"", ""underneath""]","[""above"", ""over"", ""on top""]","[""The treasure was buried beneath the old tree.""]"
benefactor,"a person who gives money or help","[""donor"", ""patron"", ""supporter""]","[""detractor"", ""enemy"", ""opponent""]","[""The anonymous benefactor donated millions.""]"
benefit,"something good that helps you","[""advantage"", ""help"", ""gain""]","[""harm"", ""disadvantage"", ""loss""]","[""Exercise has many benefits for your health.""]"
benevolent,"well-meaning and kindly","[""charitable"", ""generous"", ""kind""]","[""cruel"", ""malevolent"", ""unkind""]","[""The benevolent king gave food to the poor."", ""The benevolent leader helped those in need."", ""The benevolent queen helped the poor.""]"
benign,"gentle and kind; not harmful","[""gentle"", ""harmless"", ""kind""]","[""harmful"", ""hostile"", ""malignant""]","[""The doctor confirmed the tumour was benign.""]"
bequeath,"to leave property to someone in a will","[""hand down"", ""leave"", ""pass on""]","[""seize"", ""confiscate"", ""withhold""]","[""She will bequeath her fortune to charity."", ""She will bequeath her paintings to the museum.""]"
berate,"to scold someone angrily","[""criticise"", ""reprimand"", ""rebuke""]","[""praise"", ""commend"", ""compliment""]","[""The coach berated the players for their mistakes.""]"
beseech,"to beg someone earnestly","[""entreat"", ""implore"", ""plead""]","[""command"", ""demand"", ""order""]","[""I beseech you to reconsider your decision.""]"
bewilder,"to confuse someone completely","[""confuse"", ""puzzle"", ""perplex""]","[""clarify"", ""explain"", ""enlighten""]","[""The complex instructions bewildered everyone.""]"
bias,"prejudice in favour or against something","[""prejudice"", ""partiality"", ""favouritism""]","[""fairness"", ""impartiality"", ""neutrality""]","[""The article showed clear political bias.""]"
biased,"unfairly favouring one side","[""prejudiced"", ""partial"", ""unfair""]","[""fair"", ""impartial"", ""neutral""]","[""The referee seemed biased towards the home team.""]"
bilateral,"involving two parties or countries","[""two-sided"", ""mutual"", ""reciprocal""]","[""unilateral"", ""one-sided""]","[""The bilateral agreement benefited both nations.""]"
bitter,"having a sharp unpleasant taste; or resentful","[""sour"", ""harsh"", ""resentful""]","[""sweet"", ""pleasant"", ""kind""]","[""The medicine had a bitter taste.""]"
bizarre,"very strange or unusual","[""strange"", ""weird"", ""peculiar""]","[""normal"", ""ordinary"", ""typical""]","[""The bizarre creature had three eyes.""]"
blame,"to say someone is responsible for something bad","[""accuse"", ""fault"", ""criticise""]","[""praise"", ""forgive"", ""excuse""]","[""Do not blame others for your mistakes.""]"
bland,"lacking strong flavour or character","[""tasteless"", ""dull"", ""uninteresting""]","[""flavourful"", ""interesting"", ""exciting""]","[""The food was rather bland and boring.""]"
blasphemy,"speaking disrespectfully about sacred things","[""irreverence"", ""profanity"", ""sacrilege""]","[""reverence"", ""respect"", ""piety""]","[""His comments were considered blasphemy.""]"
blatant,"done openly without shame","[""brazen"", ""flagrant"", ""obvious"", ""shameless""]","[""subtle"", ""discreet"", ""inconspicuous""]","[""It was a blatant disregard for the rules."", ""It was a blatant lie that fooled nobody.""]"
bleak,"cold and depressing; without hope","[""grim"", ""desolate"", ""dismal""]","[""bright"", ""hopeful"", ""cheerful""]","[""The future looked bleak after the defeat.""]"
blemish,"a small flaw or mark","[""flaw"", ""mark"", ""imperfection""]","[""perfection"", ""flawlessness"", ""purity""]","[""There was a small blemish on the apple.""]"
blend,"to mix things together smoothly","[""mix"", ""combine"", ""merge""]","[""separate"", ""divide"", ""split""]","[""Blend the fruit to make a smoothie.""]"
bliss,"complete happiness","[""joy"", ""happiness"", ""delight""]","[""misery"", ""sadness"", ""despair""]","[""The holiday was pure bliss.""]"
blithe,"showing a casual indifference","[""carefree"", ""casual"", ""unconcerned""]","[""anxious"", ""concerned"", ""worried""]","[""Her blithe disregard for rules was shocking.""]"
blunder,"a stupid or careless mistake","[""mistake"", ""error"", ""slip""]","[""success"", ""achievement"", ""correction""]","[""Making that blunder cost us the game.""]"
boast,"to talk proudly about yourself","[""brag"", ""show off"", ""gloat""]","[""humble"", ""modest"", ""downplay""]","[""It is not nice to boast about winning.""]"
boisterous,"noisy and energetic","[""energetic"", ""lively"", ""rowdy"", ""unruly""]","[""calm"", ""quiet"", ""subdued""]","[""The boisterous children played in the garden."", ""The boisterous crowd cheered loudly.""]"
bold,"brave and not afraid to take risks","[""brave"", ""courageous"", ""daring""]","[""timid"", ""shy"", ""cowardly""]","[""The bold explorer entered the dark cave.""]"
bolster,"to support or strengthen","[""reinforce"", ""strengthen"", ""support""]","[""damage"", ""undermine"", ""weaken""]","[""New evidence will bolster our case.""]"
border,"the edge or boundary of something","[""edge"", ""boundary"", ""limit""]","[""centre"", ""middle"", ""interior""]","[""We crossed the border into Wales.""]"
borrow,"to take something to use and return later","[""take"", ""use"", ""loan""]","[""lend"", ""give"", ""return""]","[""May I borrow your pencil please?""]"
bother,"to annoy or worry someone","[""annoy"", ""disturb"", ""trouble""]","[""help"", ""please"", ""comfort""]","[""Sorry to bother you while you are working.""]"
boundary,"a line that marks the edge of an area","[""border"", ""edge"", ""limit""]","[""centre"", ""interior"", ""middle""]","[""The fence marks the boundary of our garden.""]"
bourgeois,"belonging to the middle class","[""middle-class"", ""conventional"", ""materialistic""]","[""working-class"", ""aristocratic"", ""unconventional""]","[""They criticised bourgeois values.""]"
boycott,"to refuse to buy or use something as a protest","[""ban"", ""avoid"", ""shun""]","[""support"", ""endorse"", ""use""]","[""They decided to boycott the shop.""]"
brandish,"to wave something as a threat","[""display"", ""flourish"", ""wave""]","[""conceal"", ""hide"", ""sheathe""]","[""He brandished the sword at his enemies.""]"
brevity,"concise and exact use of words","[""briefness"", ""conciseness"", ""shortness"", ""terseness""]","[""length"", ""verbosity"", ""wordiness""]","[""I admire the brevity of your speech."", ""The report was praised for its brevity.""]"
brief,"lasting only a short time","[""short"", ""quick"", ""fleeting""]","[""long"", ""lengthy"", ""extended""]","[""The meeting was brief and to the point.""]"
brilliant,"very clever or very bright","[""clever"", ""bright"", ""smart""]","[""dull"", ""dim"", ""stupid""]","[""The brilliant stars lit up the night sky.""]"
brisk,"quick and energetic","[""quick"", ""lively"", ""energetic""]","[""slow"", ""sluggish"", ""lazy""]","[""We went for a brisk walk in the park.""]"
brittle,"hard but easily broken","[""fragile"", ""breakable"", ""crisp""]","[""flexible"", ""strong"", ""tough""]","[""The brittle biscuit crumbled in my hand.""]"
broach,"to raise a subject for discussion","[""introduce"", ""mention"", ""raise""]","[""avoid"", ""ignore"", ""suppress""]","[""I hesitated to broach the subject of money.""]"
broad,"wide from one side to the other","[""wide"", ""extensive"", ""vast""]","[""narrow"", ""thin"", ""limited""]","[""The river was too broad to swim across.""]"
brusque,"abrupt or offhand in manner","[""abrupt"", ""blunt"", ""curt""]","[""courteous"", ""friendly"", ""polite""]","[""His brusque reply offended the customers.""]"
brutal,"extremely harsh or severe","[""savage"", ""cruel"", ""harsh""]","[""gentle"", ""kind"", ""humane""]","[""The brutal heat made the hike difficult.""]"
budget,"a plan for spending money","[""allowance"", ""funds"", ""allocation""]","[""overspending"", ""waste"", ""debt""]","[""We need to stick to our budget.""]"
buoyant,"able to float; cheerful","[""floating"", ""cheerful"", ""optimistic""]","[""sinking"", ""pessimistic"", ""gloomy""]","[""The buoyant ball floated on the water.""]"
burden,"something heavy to carry or a worry","[""load"", ""weight"", ""responsibility""]","[""relief"", ""help"", ""ease""]","[""Carrying all the shopping was a heavy burden.""]"
bureaucracy,"a system of government with many rules","[""administration"", ""red tape"", ""officialdom""]","[""efficiency"", ""simplicity"", ""informality""]","[""The bureaucracy made the process slow.""]"
bureaucratic,"relating to complicated official procedures","[""administrative"", ""governmental"", ""procedural""]","[""informal"", ""simple"", ""efficient""]","[""The bureaucratic process was frustrating.""]"
buttress,"to support or strengthen","[""bolster"", ""reinforce"", ""support""]","[""damage"", ""undermine"", ""weaken""]","[""New evidence will buttress our case.""]"
cacophony,"a harsh mixture of sounds","[""din"", ""discord"", ""noise""]","[""harmony"", ""melody"", ""silence""]","[""The cacophony of car horns filled the street.""]"
cajole,"to persuade by flattery or coaxing","[""coax"", ""persuade"", ""wheedle""]","[""bully"", ""compel"", ""discourage"", ""force""]","[""She tried to cajole him into helping.""]"
calamity,"an event causing great damage","[""catastrophe"", ""disaster"", ""tragedy""]","[""benefit"", ""blessing"", ""fortune""]","[""The flood was a calamity for the village.""]"
calculate,"to work out using maths","[""compute"", ""figure out"", ""determine""]","[""estimate"", ""guess"", ""approximate""]","[""Can you calculate the total cost?""]"
calibre,"the quality or level of ability","[""quality"", ""standard"", ""merit""]","[""mediocrity"", ""inferiority"", ""poorness""]","[""Athletes of this calibre are rare.""]"
callous,"showing cruel disregard for others","[""heartless"", ""insensitive"", ""unfeeling""]","[""caring"", ""compassionate"", ""kind"", ""sympathetic""]","[""His callous remarks hurt her deeply."", ""His callous remarks upset everyone.""]"
calm,"peaceful and quiet without worry","[""peaceful"", ""relaxed"", ""tranquil""]","[""anxious"", ""worried"", ""agitated""]","[""The calm sea was perfect for swimming.""]"
camaraderie,"mutual trust and friendship","[""fellowship"", ""friendship"", ""solidarity""]","[""antagonism"", ""enmity"", ""hostility""]","[""There was great camaraderie among the team.""]"
campaign,"an organised effort to achieve a goal","[""drive"", ""movement"", ""effort""]","[""inaction"", ""passivity"", ""surrender""]","[""The campaign to save the park was successful.""]"
candid,"truthful and straightforward","[""frank"", ""honest"", ""open""]","[""dishonest"", ""evasive"", ""secretive""]","[""I appreciate your candid feedback."", ""I appreciate your candid opinion.""]"
candour,"the quality of being open and honest","[""frankness"", ""honesty"", ""openness""]","[""deception"", ""dishonesty"", ""evasiveness"", ""insincerity""]","[""I appreciate your candour on this matter.""]"
capable,"having the ability to do something","[""able"", ""skilled"", ""competent""]","[""incapable"", ""unable"", ""incompetent""]","[""She is capable of solving difficult problems.""]"
capacity,"the maximum amount that can be contained","[""ability"", ""capability"", ""volume""]","[""inability"", ""incapacity"", ""limitation""]","[""The stadium has a capacity of 50000."", ""The stadium has a capacity of 80000.""]"
capitulate,"to cease resistance and surrender","[""submit"", ""surrender"", ""yield""]","[""fight"", ""persevere"", ""resist""]","[""The army was forced to capitulate after the siege."", ""The army was forced to capitulate."", ""The rebels were forced to capitulate.""]"
capricious,"given to sudden changes of mood","[""changeable"", ""fickle"", ""unpredictable""]","[""constant"", ""predictable"", ""steady""]","[""Her capricious behaviour confused everyone."", ""The capricious weather made planning difficult.""]"
captivate,"to attract and hold attention","[""fascinate"", ""charm"", ""enchant""]","[""bore"", ""repel"", ""disgust""]","[""The story will captivate young readers.""]"
capture,"to catch and keep someone or something","[""catch"", ""seize"", ""trap""]","[""release"", ""free"", ""liberate""]","[""The photographer hoped to capture a picture of the fox.""]"
careless,"not paying attention; making mistakes","[""reckless"", ""thoughtless"", ""sloppy""]","[""careful"", ""cautious"", ""attentive""]","[""Careless mistakes cost him the game.""]"
castigate,"to reprimand someone severely","[""chastise"", ""criticise"", ""rebuke""]","[""approve"", ""commend"", ""praise""]","[""The report castigated the company's practices.""]"
catalyst,"something that causes change","[""spark"", ""stimulus"", ""trigger""]","[""deterrent"", ""inhibitor"", ""obstacle""]","[""The event was a catalyst for reform."", ""The speech was a catalyst for change.""]"
catastrophe,"a sudden disaster causing great damage","[""disaster"", ""calamity"", ""tragedy""]","[""blessing"", ""fortune"", ""success""]","[""The earthquake was a terrible catastrophe.""]"
categorical,"absolute and without exception","[""absolute"", ""definite"", ""unconditional""]","[""conditional"", ""qualified"", ""uncertain""]","[""She gave a categorical denial.""]"
caustic,"sarcastic in a bitter way","[""biting"", ""scathing"", ""cutting""]","[""kind"", ""gentle"", ""mild""]","[""Her caustic wit intimidated others.""]"
caution,"being careful to avoid danger","[""care"", ""warning"", ""alertness""]","[""recklessness"", ""carelessness"", ""haste""]","[""Cross the road with caution.""]"
cautious,"being careful to avoid danger or mistakes","[""careful"", ""wary"", ""alert""]","[""careless"", ""reckless"", ""hasty""]","[""Be cautious when crossing the busy road.""]"
cautiously,"doing something carefully to avoid danger","[""carefully"", ""warily"", ""prudently""]","[""carelessly"", ""recklessly"", ""hastily""]","[""She cautiously crossed the icy path.""]"
cease,"to come to an end or stop","[""end"", ""halt"", ""stop""]","[""begin"", ""continue"", ""start""]","[""Hostilities will cease at midnight."", ""The rain will cease by afternoon.""]"
cede,"to give up power or territory","[""relinquish"", ""surrender"", ""yield""]","[""hold"", ""keep"", ""retain""]","[""They were forced to cede control of the region.""]"
celebrate,"to do something special for a happy event","[""rejoice"", ""party"", ""honour""]","[""mourn"", ""ignore"", ""forget""]","[""We will celebrate my birthday with a cake.""]"
censorious,"severely critical of others","[""critical"", ""fault-finding"", ""disapproving""]","[""tolerant"", ""accepting"", ""approving""]","[""The censorious review damaged the film's success.""]"
censure,"to express strong disapproval","[""criticise"", ""condemn"", ""reprimand""]","[""praise"", ""approve"", ""commend""]","[""The committee voted to censure the member.""]"
census,"an official count of people in a country","[""count"", ""survey"", ""poll""]","[""guess"", ""estimate"", ""approximation""]","[""The census happens every ten years.""]"
central,"in the middle or most important","[""middle"", ""main"", ""key""]","[""outer"", ""peripheral"", ""minor""]","[""The central character in the story is a wizard.""]"
cerebral,"relating to the intellect rather than emotions","[""analytical"", ""intellectual"", ""rational""]","[""emotional"", ""instinctive"", ""physical""]","[""It was a cerebral rather than emotional response.""]"
certain,"sure about something without doubt","[""sure"", ""definite"", ""positive""]","[""uncertain"", ""unsure"", ""doubtful""]","[""I am certain that I locked the door.""]"
chagrin,"distress caused by humiliation or failure","[""dismay"", ""embarrassment"", ""mortification""]","[""delight"", ""pleasure"", ""satisfaction""]","[""Much to her chagrin she failed the test."", ""Much to his chagrin he lost the match.""]"
challenge,"something difficult that tests your abilities","[""test"", ""difficulty"", ""task""]","[""ease"", ""simplicity"", ""help""]","[""The puzzle was a real challenge.""]"
chaos,"complete disorder and confusion","[""disorder"", ""confusion"", ""mayhem""]","[""order"", ""peace"", ""harmony""]","[""The classroom was in chaos when the teacher left.""]"
characteristic,"a typical feature or quality","[""feature"", ""trait"", ""quality""]","[""abnormality"", ""exception"", ""irregularity""]","[""Honesty is a characteristic I admire.""]"
charlatan,"a person falsely claiming expertise","[""fake"", ""fraud"", ""impostor""]","[""authentic"", ""authority"", ""expert"", ""genuine"", ""professional""]","[""The charlatan was exposed as a fraud.""]"
charming,"very pleasant and likeable","[""delightful"", ""lovely"", ""enchanting""]","[""unpleasant"", ""rude"", ""repulsive""]","[""The charming village had pretty cottages.""]"
chase,"to run after someone or something","[""pursue"", ""follow"", ""hunt""]","[""flee"", ""escape"", ""retreat""]","[""The dog loves to chase squirrels.""]"
chastise,"to criticise or punish severely","[""rebuke"", ""reprimand"", ""scold""]","[""commend"", ""praise"", ""reward""]","[""The teacher had to chastise the disruptive student.""]"
cherish,"to love and care for something dearly","[""treasure"", ""value"", ""adore""]","[""neglect"", ""ignore"", ""discard""]","[""I cherish the memories of our holiday.""]"
chronic,"persisting for a long time","[""constant"", ""long-lasting"", ""ongoing"", ""persistent""]","[""acute"", ""brief"", ""temporary""]","[""She suffers from chronic back pain."", ""She suffers from chronic fatigue.""]"
chronicle,"a factual account of events in order","[""record"", ""account"", ""history""]","[""fiction"", ""fabrication"", ""myth""]","[""The book chronicles the history of Rome.""]"
circulate,"to move around or spread","[""spread"", ""distribute"", ""flow""]","[""collect"", ""gather"", ""block""]","[""Blood circulates through the body.""]"
circumspect,"careful to consider all circumstances","[""cautious"", ""careful"", ""prudent""]","[""reckless"", ""careless"", ""imprudent""]","[""Be circumspect when making decisions.""]"
circumstance,"a condition or fact affecting a situation","[""situation"", ""condition"", ""factor""]","[""certainty"", ""control"", ""plan""]","[""Under the circumstance we had no choice.""]"
circumvent,"to find a way around an obstacle","[""bypass"", ""avoid"", ""evade""]","[""confront"", ""face"", ""address""]","[""They tried to circumvent the regulations.""]"
cite,"to mention as an example or proof","[""quote"", ""mention"", ""refer to""]","[""ignore"", ""omit"", ""overlook""]","[""The lawyer will cite several cases.""]"
clandestine,"kept secret or done secretly","[""covert"", ""secret"", ""undercover""]","[""open"", ""overt"", ""public""]","[""The clandestine meeting was held at night."", ""They held clandestine meetings at night.""]"
clarify,"to make something clearer or easier to understand","[""explain"", ""clear up"", ""simplify""]","[""confuse"", ""obscure"", ""complicate""]","[""Please clarify what you mean.""]"
classify,"to arrange things into groups or categories","[""categorise"", ""sort"", ""organise""]","[""mix"", ""combine"", ""jumble""]","[""Scientists classify animals into groups.""]"
clemency,"mercy or leniency towards an offender","[""compassion"", ""forgiveness"", ""leniency"", ""mercy""]","[""harshness"", ""punishment"", ""severity"", ""strictness""]","[""The judge showed clemency in sentencing."", ""The judge showed clemency to the offender.""]"
clever,"quick to learn and understand things","[""smart"", ""intelligent"", ""bright""]","[""foolish"", ""silly"", ""slow""]","[""The clever fox found a way to escape.""]"
climate,"the usual weather conditions in an area","[""weather"", ""atmosphere"", ""conditions""]","[""short-term weather"", ""daily weather"", ""brief weather""]","[""The tropical climate is hot and humid.""]"
clumsy,"moving awkwardly and knocking things over","[""awkward"", ""uncoordinated"", ""ungainly""]","[""graceful"", ""nimble"", ""agile""]","[""The clumsy elephant knocked over the chairs.""]"
coalesce,"to come together to form one whole","[""combine"", ""merge"", ""unite""]","[""disperse"", ""divide"", ""separate"", ""split""]","[""The groups began to coalesce into one."", ""The groups began to coalesce.""]"
coarse,"rough in texture; or rude in manner","[""rough"", ""crude"", ""harsh""]","[""smooth"", ""fine"", ""refined""]","[""The coarse sand scratched my feet.""]"
coax,"to persuade gently","[""cajole"", ""persuade"", ""wheedle""]","[""bully"", ""compel"", ""force""]","[""She tried to coax the cat out from under the bed.""]"
coerce,"to persuade using force or threats","[""compel"", ""force"", ""pressure""]","[""allow"", ""convince"", ""encourage"", ""persuade""]","[""No one should coerce you into agreeing.""]"
cogent,"clear and logical; convincing","[""convincing"", ""compelling"", ""persuasive""]","[""weak"", ""unconvincing"", ""illogical""]","[""She presented a cogent argument.""]"
cognisant,"having knowledge or awareness","[""aware"", ""conscious"", ""mindful""]","[""unaware"", ""ignorant"", ""oblivious""]","[""I am cognisant of the risks involved.""]"
coherent,"logical and consistent","[""clear"", ""consistent"", ""logical"", ""reasoned""]","[""confused"", ""confusing"", ""illogical"", ""incoherent""]","[""Write a coherent argument in your essay."", ""Write a coherent essay with clear arguments."", ""Write a coherent paragraph with clear ideas.""]"
coincide,"to happen at the same time","[""occur together"", ""match"", ""correspond""]","[""differ"", ""clash"", ""diverge""]","[""Our holidays coincide this year.""]"
collaborate,"to work jointly with others","[""cooperate"", ""partner"", ""team up"", ""work together""]","[""compete"", ""hinder"", ""oppose"", ""work alone""]","[""The artists will collaborate on the project."", ""The scientists will collaborate on research.""]"
collapse,"to fall down suddenly","[""cave in"", ""crumble"", ""fail"", ""fall""]","[""build"", ""rise"", ""stand"", ""succeed""]","[""The old bridge might collapse soon."", ""The old building might collapse soon.""]"
collect,"to gather things together","[""gather"", ""assemble"", ""accumulate""]","[""scatter"", ""spread"", ""distribute""]","[""I like to collect stamps from different countries.""]"
